Symbiodinium52236	K00738
Symbiodinium29140	K12843
Symbiodinium12256	K04515
Symbiodinium25513	K06496
Symbiodinium7329	K17943
Symbiodinium45745	K12132
Symbiodinium51393	K17710
Symbiodinium35588	K10580
Symbiodinium23807	K04487
Symbiodinium7363	K21440
Symbiodinium40176	K23424
Symbiodinium35645	K10685
Symbiodinium56681	K02327
Symbiodinium27970	K12854
Symbiodinium48115	K03686
Symbiodinium35678	K07376
Symbiodinium26056	K02975
Symbiodinium51387	K10380
Symbiodinium31578	K12348
Symbiodinium11024	K21440
Symbiodinium46073	K08798
Symbiodinium42197	K08794
Symbiodinium66198	K22754
Symbiodinium32600	K16726
Symbiodinium46237	K08869
Symbiodinium17427	K10768
Symbiodinium35693	K00901
Symbiodinium24881	K06180
Symbiodinium46660	K22698
Symbiodinium28597	K01069
Symbiodinium36617	K01749
Symbiodinium40115	K01076
Symbiodinium51932	K20196
Symbiodinium7230	K16470
Symbiodinium46409	K23257
Symbiodinium32067	K20416
Symbiodinium42716	K04842
Symbiodinium52977	K18059
Symbiodinium36179	K14966
Symbiodinium42010	K12430
Symbiodinium16706	K05906
Symbiodinium9627	K01392
Symbiodinium59732	K06180
Symbiodinium33474	K13720
Symbiodinium56429	K21806
Symbiodinium48789	K15305
Symbiodinium22002	K01689
Symbiodinium43890	K26236
Symbiodinium20877	K10859
Symbiodinium51993	K15303
Symbiodinium10130	K06130
Symbiodinium16849	K18880
Symbiodinium21751	K15377
Symbiodinium49655	K14079
Symbiodinium14581	K20196
Symbiodinium37631	K01408
Symbiodinium17018	K12796
Symbiodinium46407	K00871
Symbiodinium42526	K14383
Symbiodinium60090	K02088
Symbiodinium40704	K12183
Symbiodinium22069	K03267
Symbiodinium51324	K20032
Symbiodinium16897	K18849
Symbiodinium43419	K06338
Symbiodinium39414	K08489
Symbiodinium28417	K13207
Symbiodinium12158	K14165
Symbiodinium21443	K16459
Symbiodinium42501	K04739
Symbiodinium23480	K07456
Symbiodinium10238	K03596
Symbiodinium26865	K01179
Symbiodinium24620	K02945
Symbiodinium12748	K02877
Symbiodinium33139	K04460
Symbiodinium33214	K01845
Symbiodinium54242	K00344
Symbiodinium32015	K17943
Symbiodinium40845	K14442
Symbiodinium70953	K22754
Symbiodinium23072	K12460
Symbiodinium792	K07937
Symbiodinium17592	K01438
Symbiodinium15863	K08176
Symbiodinium30787	K01179
Symbiodinium16610	K21440
Symbiodinium34883	K10380
Symbiodinium49384	K00472
Symbiodinium23815	K05605
Symbiodinium41951	K08059
Symbiodinium8668	K17821
Symbiodinium19537	K01176
Symbiodinium74965	K02941
Symbiodinium10553	K08336
Symbiodinium15912	K15401
Symbiodinium12596	K09422
Symbiodinium24419	K00995
Symbiodinium34017	K08857
Symbiodinium12245	K22614
Symbiodinium25900	K05643
Symbiodinium42555	K01802
Symbiodinium50153	K22128
Symbiodinium20716	K23518
Symbiodinium7159	K20303
Symbiodinium11900	K16726
Symbiodinium14388	K04648
Symbiodinium26425	K06180
Symbiodinium44663	K14411
Symbiodinium13118	K23257
Symbiodinium18770	K01363
Symbiodinium54495	K04879
Symbiodinium41077	K11594
Symbiodinium10313	K08614
Symbiodinium27083	K00545
Symbiodinium32356	K26236
Symbiodinium16596	K03320
Symbiodinium16021	K02471
Symbiodinium1580	K11323
Symbiodinium45481	K07404
Symbiodinium38895	K23344
Symbiodinium56461	K08770
Symbiodinium42260	K01176
Symbiodinium27446	K00026
Symbiodinium18220	K05673
Symbiodinium29220	K21440
Symbiodinium34322	K00101
Symbiodinium7377	K11527
Symbiodinium5349	K03327
Symbiodinium22335	K07636
Symbiodinium52388	K08794
Symbiodinium45315	K03868
Symbiodinium22417	K10380
Symbiodinium15516	K13614
Symbiodinium869	K06180
Symbiodinium33148	K10799
Symbiodinium26448	K24139
Symbiodinium15372	K19613
Symbiodinium56154	K12460
Symbiodinium48394	K10838
Symbiodinium29042	K01586
Symbiodinium6229	K15442
Symbiodinium30214	K03798
Symbiodinium40976	K00326
Symbiodinium35692	K15272
Symbiodinium5354	K04892
Symbiodinium27203	K01624
Symbiodinium25740	K12445
Symbiodinium11641	K10747
Symbiodinium56692	K08582
Symbiodinium56199	K22763
Symbiodinium28270	K25546
Symbiodinium25121	K04984
Symbiodinium52155	K00799
Symbiodinium49236	K14457
Symbiodinium28154	K00958
Symbiodinium45911	K00476
Symbiodinium27836	K12856
Symbiodinium55678	K13412
Symbiodinium54921	K10380
Symbiodinium36802	K00652
Symbiodinium47355	K04954
Symbiodinium40794	K14415
Symbiodinium23699	K15015
Symbiodinium45246	K12859
Symbiodinium33968	K04955
Symbiodinium40588	K04838
Symbiodinium47428	K05313
Symbiodinium38480	K16726
Symbiodinium50920	K05300
Symbiodinium10776	K18042
Symbiodinium32122	K08857
Symbiodinium16833	K05643
Symbiodinium43010	K17339
Symbiodinium26390	K07376
Symbiodinium39207	K14962
Symbiodinium7722	K12386
Symbiodinium8211	K26163
Symbiodinium29543	K13210
Symbiodinium6275	K06072
Symbiodinium53938	K09592
Symbiodinium37488	K23539
Symbiodinium7960	K03438
Symbiodinium30662	K22769
Symbiodinium23514	K17943
Symbiodinium45276	K08960
Symbiodinium19172	K18468
Symbiodinium11330	K00078
Symbiodinium37419	K03235
Symbiodinium34383	K10380
Symbiodinium30057	K07300
Symbiodinium10668	K16914
Symbiodinium32093	K17341
Symbiodinium10200	K17964
Symbiodinium31124	K21867
Symbiodinium33527	K03063
Symbiodinium28644	K01365
Symbiodinium14247	K15111
Symbiodinium12690	K13523
Symbiodinium51568	K22987
Symbiodinium49206	K11481
Symbiodinium32575	K11855
Symbiodinium28541	K12626
Symbiodinium20589	K00679
Symbiodinium44096	K18055
Symbiodinium26157	K23257
Symbiodinium21416	K07241
Symbiodinium44978	K22763
Symbiodinium24780	K13126
Symbiodinium31659	K06002
Symbiodinium29223	K02218
Symbiodinium55461	K06941
Symbiodinium27703	K00452
Symbiodinium57541	K07759
Symbiodinium48634	K15103
Symbiodinium27530	K10949
Symbiodinium35922	K04371
Symbiodinium43238	K04515
Symbiodinium39284	K10477
Symbiodinium44029	K04905
Symbiodinium28728	K01412
Symbiodinium23293	K17506
Symbiodinium52058	K00002
Symbiodinium29336	K11175
Symbiodinium45458	K07552
Symbiodinium24372	K02519
Symbiodinium22529	K09838
Symbiodinium36194	K23029
Symbiodinium28750	K26580
Symbiodinium40149	K14004
Symbiodinium16689	K20862
Symbiodinium31120	K01676
Symbiodinium43602	K00922
Symbiodinium36102	K08960
Symbiodinium29139	K07376
Symbiodinium7677	K15523
Symbiodinium21311	K01112
Symbiodinium46871	K07198
Symbiodinium25200	K00726
Symbiodinium19693	K06269
Symbiodinium15850	K06215
Symbiodinium49480	K09964
Symbiodinium46921	K17943
Symbiodinium54958	K07304
Symbiodinium36375	K14803
Symbiodinium51222	K04097
Symbiodinium37271	K06103
Symbiodinium37601	K18667
Symbiodinium41679	K12603
Symbiodinium43097	K01802
Symbiodinium33016	K01649
Symbiodinium41647	K09514
Symbiodinium31707	K15283
Symbiodinium18361	K12442
Symbiodinium26893	K04739
Symbiodinium41580	K12795
Symbiodinium39839	K16726
Symbiodinium53043	K02087
Symbiodinium39619	K03347
Symbiodinium35569	K11323
Symbiodinium48842	K13704
Symbiodinium31546	K01792
Symbiodinium50283	K19041
Symbiodinium9112	K13291
Symbiodinium47690	K09647
Symbiodinium8983	K04955
Symbiodinium67927	K02948
Symbiodinium20784	K12492
Symbiodinium14217	K03417
Symbiodinium35488	K17804
Symbiodinium7746	K00002
Symbiodinium9405	K16726
Symbiodinium18524	K02981
Symbiodinium23407	K01081
Symbiodinium10114	K08582
Symbiodinium43206	K14445
Symbiodinium52715	K15424
Symbiodinium12938	K00573
Symbiodinium11429	K03231
Symbiodinium55762	K02471
Symbiodinium17781	K21440
Symbiodinium47473	K19041
Symbiodinium39013	K10865
Symbiodinium26002	K12319
Symbiodinium37006	K03686
Symbiodinium5198	K00849
Symbiodinium27551	K25470
Symbiodinium22096	K12132
Symbiodinium25385	K10773
Symbiodinium37777	K06639
Symbiodinium14876	K12598
Symbiodinium25656	K00002
Symbiodinium30463	K11787
Symbiodinium12423	K02939
Symbiodinium36551	K04955
Symbiodinium34371	K14015
Symbiodinium9220	K20298
Symbiodinium12698	K11481
Symbiodinium57522	K15046
Symbiodinium51518	K23330
Symbiodinium27294	K02929
Symbiodinium48538	K03362
Symbiodinium39454	K00434
Symbiodinium10494	K06180
Symbiodinium52565	K12132
Symbiodinium34150	K13412
Symbiodinium1373	K21440
Symbiodinium27722	K00434
Symbiodinium54384	K21969
Symbiodinium31544	K07376
Symbiodinium6348	K03218
Symbiodinium27002	K02634
Symbiodinium37065	K03061
Symbiodinium28829	K06911
Symbiodinium56530	K01493
Symbiodinium11705	K18763
Symbiodinium34100	K22684
Symbiodinium46980	K19870
Symbiodinium30683	K04515
Symbiodinium24535	K08287
Symbiodinium7926	K17267
Symbiodinium15957	K06173
Symbiodinium44654	K15003
Symbiodinium43773	K17339
Symbiodinium41215	K09571
Symbiodinium22752	K15340
Symbiodinium24156	K11162
Symbiodinium14417	K11323
Symbiodinium41516	K04905
Symbiodinium12635	K09699
Symbiodinium33807	K24485
Symbiodinium38169	K23437
Symbiodinium45030	K05193
Symbiodinium15984	K01760
Symbiodinium32419	K12275
Symbiodinium24704	K23257
Symbiodinium53810	K16482
Symbiodinium45581	K12118
Symbiodinium7644	K14776
Symbiodinium33491	K14570
Symbiodinium13138	K11087
Symbiodinium31711	K23909
Symbiodinium20891	K05592
Symbiodinium5762	K25536
Symbiodinium6458	K13217
Symbiodinium41186	K08857
Symbiodinium51013	K22685
Symbiodinium47713	K17914
Symbiodinium44269	K01103
Symbiodinium46617	K01685
Symbiodinium28819	K10411
Symbiodinium27195	K02256
Symbiodinium8648	K02427
Symbiodinium41546	K00006
Symbiodinium43862	K05609
Symbiodinium54464	K11662
Symbiodinium19058	K12813
Symbiodinium49555	K06990
Symbiodinium34582	K00849
Symbiodinium30618	K21989
Symbiodinium37214	K12823
Symbiodinium33635	K21993
Symbiodinium6170	K13807
Symbiodinium10809	K11713
Symbiodinium13839	K10380
Symbiodinium24656	K06180
Symbiodinium48151	K18584
Symbiodinium25141	K04459
Symbiodinium40741	K10534
Symbiodinium8286	K09529
Symbiodinium62049	K16726
Symbiodinium19678	K14790
Symbiodinium19452	K02940
Symbiodinium20349	K01210
Symbiodinium753	K10380
Symbiodinium13084	K11584
Symbiodinium11861	K10380
Symbiodinium20303	K02183
Symbiodinium28168	K09498
Symbiodinium50928	K07943
Symbiodinium54042	K10442
Symbiodinium6025	K08857
Symbiodinium37614	K04371
Symbiodinium29587	K13412
Symbiodinium54749	K09935
Symbiodinium16642	K01195
Symbiodinium9286	K09540
Symbiodinium41488	K10414
Symbiodinium15357	K00825
Symbiodinium43580	K23456
Symbiodinium38062	K12329
Symbiodinium20394	K25656
Symbiodinium38225	K05309
Symbiodinium9540	K25931
Symbiodinium42715	K02895
Symbiodinium54300	K00077
Symbiodinium20686	K10615
Symbiodinium56264	K09514
Symbiodinium40431	K15306
Symbiodinium54763	K21440
Symbiodinium29387	K07513
Symbiodinium32543	K00058
Symbiodinium12109	K03686
Symbiodinium46551	K00889
Symbiodinium32502	K14293
Symbiodinium49426	K18932
Symbiodinium33314	K23531
Symbiodinium49774	K14416
Symbiodinium17638	K10407
Symbiodinium31070	K19589
Symbiodinium21560	K01488
Symbiodinium56907	K21421
Symbiodinium45460	K13412
Symbiodinium39160	K19685
Symbiodinium25982	K14326
Symbiodinium27316	K02891
Symbiodinium51447	K10380
Symbiodinium41086	K00344
Symbiodinium34966	K00814
Symbiodinium28604	K08803
Symbiodinium8053	K15026
Symbiodinium37691	K07874
Symbiodinium8579	K00641
Symbiodinium9295	K18670
Symbiodinium39830	K08811
Symbiodinium20366	K12968
Symbiodinium39046	K01076
Symbiodinium33848	K00106
Symbiodinium54731	K17584
Symbiodinium55859	K07904
Symbiodinium34031	K03872
Symbiodinium25768	K10615
Symbiodinium45436	K12132
Symbiodinium42599	K01853
Symbiodinium44566	K01230
Symbiodinium8771	K08582
Symbiodinium17264	K10380
Symbiodinium51438	K14004
Symbiodinium35787	K05841
Symbiodinium33287	K02937
Symbiodinium48368	K23424
Symbiodinium41646	K00871
Symbiodinium30988	K19757
Symbiodinium9856	K13172
Symbiodinium32229	K12567
Symbiodinium48843	K18283
Symbiodinium31929	K18749
Symbiodinium56115	K10380
Symbiodinium49949	K14026
Symbiodinium45397	K01076
Symbiodinium29401	K02726
Symbiodinium56260	K03438
Symbiodinium6113	K13412
Symbiodinium10288	K05849
Symbiodinium19494	K08133
Symbiodinium23752	K04604
Symbiodinium15050	K07560
Symbiodinium43052	K24525
Symbiodinium9409	K10716
Symbiodinium24600	K16546
Symbiodinium10317	K11968
Symbiodinium14916	K15451
Symbiodinium50832	K20417
Symbiodinium21886	K00703
Symbiodinium47000	K03544
Symbiodinium55023	K13907
Symbiodinium30020	K01491
Symbiodinium56801	K00733
Symbiodinium20378	K06180
Symbiodinium44329	K07901
Symbiodinium44438	K12132
Symbiodinium23145	K15032
Symbiodinium41736	K20717
Symbiodinium51846	K10860
Symbiodinium51865	K03686
Symbiodinium52948	K12823
Symbiodinium49454	K01363
Symbiodinium37161	K09773
Symbiodinium33923	K08900
Symbiodinium60711	K01414
Symbiodinium48627	K03237
Symbiodinium40863	K00812
Symbiodinium38114	K05791
Symbiodinium43281	K14206
Symbiodinium25579	K00873
Symbiodinium2793	K11407
Symbiodinium37695	K01599
Symbiodinium22814	K01240
Symbiodinium47408	K01056
Symbiodinium69608	K02358
Symbiodinium40361	K10380
Symbiodinium8993	K12492
Symbiodinium24248	K11434
Symbiodinium12989	K13444
Symbiodinium24590	K11699
Symbiodinium27514	K00122
Symbiodinium38502	K00858
Symbiodinium34991	K00314
Symbiodinium39020	K02183
Symbiodinium7818	K26223
Symbiodinium15276	K20889
Symbiodinium12820	K10380
Symbiodinium12119	K12035
Symbiodinium55866	K03978
Symbiodinium44229	K00280
Symbiodinium23382	K04955
Symbiodinium56699	K12460
Symbiodinium41575	K14156
Symbiodinium45374	K17495
Symbiodinium7415	K13288
Symbiodinium67078	K02355
Symbiodinium30706	K01802
Symbiodinium26311	K05672
Symbiodinium40186	K06694
Symbiodinium53814	K03327
Symbiodinium34446	K03320
Symbiodinium50147	K10296
Symbiodinium40637	K17103
Symbiodinium40750	K15692
Symbiodinium44032	K14379
Symbiodinium63021	K21440
Symbiodinium7664	K04459
Symbiodinium46569	K01710
Symbiodinium8592	K01939
Symbiodinium12086	K06997
Symbiodinium28416	K02183
Symbiodinium50457	K26544
Symbiodinium43037	K01510
Symbiodinium55861	K14326
Symbiodinium43233	K06794
Symbiodinium25033	K23741
Symbiodinium38410	K07748
Symbiodinium39109	K07376
Symbiodinium55722	K02493
Symbiodinium44934	K18595
Symbiodinium35114	K24680
Symbiodinium38935	K20715
Symbiodinium41985	K10380
Symbiodinium36015	K06228
Symbiodinium50338	K24543
Symbiodinium32578	K13750
Symbiodinium13224	K02433
Symbiodinium28215	K10523
Symbiodinium38045	K08574
Symbiodinium34757	K10407
Symbiodinium34851	K00014
Symbiodinium45492	K21053
Symbiodinium62	K22552
Symbiodinium29097	K00699
Symbiodinium53104	K13917
Symbiodinium32285	K15920
Symbiodinium5392	K00856
Symbiodinium54292	K14819
Symbiodinium7318	K02183
Symbiodinium12067	K01382
Symbiodinium12600	K19382
Symbiodinium36332	K03553
Symbiodinium36807	K01379
Symbiodinium49183	K16726
Symbiodinium35637	K00326
Symbiodinium43528	K12823
Symbiodinium13999	K17907
Symbiodinium3503	K02988
Symbiodinium43958	K18442
Symbiodinium26461	K02720
Symbiodinium20644	K00030
Symbiodinium32212	K07976
Symbiodinium16676	K12567
Symbiodinium56087	K12460
Symbiodinium44702	K15198
Symbiodinium56312	K00799
Symbiodinium54014	K02183
Symbiodinium33132	K15377
Symbiodinium19521	K02969
Symbiodinium31412	K00059
Symbiodinium28916	K00823
Symbiodinium8891	K08827
Symbiodinium47264	K12492
Symbiodinium31737	K14689
Symbiodinium37459	K13507
Symbiodinium14687	K12492
Symbiodinium25707	K10407
Symbiodinium12783	K03217
Symbiodinium15350	K10380
Symbiodinium15899	K04344
Symbiodinium32372	K07407
Symbiodinium16588	K14684
Symbiodinium5840	K26544
Symbiodinium39132	K15259
Symbiodinium54775	K17943
Symbiodinium13374	K10380
Symbiodinium37736	K12813
Symbiodinium31861	K13412
Symbiodinium29553	K10733
Symbiodinium38047	K13171
Symbiodinium55667	K07297
Symbiodinium14837	K20551
Symbiodinium10353	K17675
Symbiodinium28009	K11416
Symbiodinium18962	K10408
Symbiodinium32201	K13046
Symbiodinium34953	K04515
Symbiodinium27711	K01178
Symbiodinium36585	K11583
Symbiodinium70228	K12439
Symbiodinium49788	K25587
Symbiodinium36290	K12443
Symbiodinium45750	K22809
Symbiodinium19621	K01164
Symbiodinium34462	K00476
Symbiodinium23133	K06210
Symbiodinium7595	K14141
Symbiodinium30919	K15016
Symbiodinium48735	K16914
Symbiodinium51069	K04417
Symbiodinium41103	K04460
Symbiodinium43413	K13412
Symbiodinium20664	K12823
Symbiodinium18031	K24195
Symbiodinium46587	K24780
Symbiodinium31010	K10754
Symbiodinium45166	K03353
Symbiodinium32469	K07783
Symbiodinium50738	K12443
Symbiodinium38479	K06995
Symbiodinium73202	K04468
Symbiodinium41233	K02471
Symbiodinium38287	K04905
Symbiodinium48470	K05350
Symbiodinium34232	K06269
Symbiodinium10042	K06636
Symbiodinium16251	K03768
Symbiodinium35463	K06941
Symbiodinium50561	K17757
Symbiodinium36638	K24725
Symbiodinium14918	K10523
Symbiodinium38023	K12035
Symbiodinium36299	K19219
Symbiodinium28096	K06794
Symbiodinium16742	K11267
Symbiodinium28936	K13862
Symbiodinium8153	K01625
Symbiodinium20476	K07376
Symbiodinium41720	K17508
Symbiodinium57991	K16726
Symbiodinium54454	K13026
Symbiodinium24587	K02889
Symbiodinium55225	K12132
Symbiodinium48309	K18081
Symbiodinium41909	K05906
Symbiodinium41782	K14379
Symbiodinium27014	K16289
Symbiodinium28890	K00699
Symbiodinium47599	K15503
Symbiodinium19422	K08795
Symbiodinium15496	K10380
Symbiodinium28682	K01889
Symbiodinium18043	K04688
Symbiodinium7239	K23164
Symbiodinium48372	K20823
Symbiodinium24149	K22858
Symbiodinium25780	K23330
Symbiodinium27456	K15272
Symbiodinium45172	K14827
Symbiodinium15203	K08281
Symbiodinium46880	K00036
Symbiodinium9428	K08292
Symbiodinium33288	K04427
Symbiodinium57414	K05522
Symbiodinium38955	K01342
Symbiodinium33102	K00128
Symbiodinium24671	K09571
Symbiodinium40078	K23801
Symbiodinium49758	K20715
Symbiodinium36742	K02100
Symbiodinium14348	K03778
Symbiodinium24753	K10380
Symbiodinium40712	K19787
Symbiodinium9997	K22943
Symbiodinium55677	K02520
Symbiodinium57431	K00606
Symbiodinium17212	K03665
Symbiodinium44077	K05016
Symbiodinium46293	K10421
Symbiodinium57517	K21440
Symbiodinium22483	K11103
Symbiodinium30604	K03097
Symbiodinium29265	K01208
Symbiodinium9834	K10380
Symbiodinium44733	K07393
Symbiodinium37597	K00285
Symbiodinium51379	K15446
Symbiodinium55696	K15502
Symbiodinium20352	K23257
Symbiodinium48984	K17290
Symbiodinium33107	K02183
Symbiodinium35717	K00931
Symbiodinium74759	K13126
Symbiodinium44374	K07921
Symbiodinium55594	K00472
Symbiodinium35794	K08176
Symbiodinium49232	K11166
Symbiodinium6281	K03762
Symbiodinium43614	K24392
Symbiodinium31995	K00286
Symbiodinium33318	K13448
Symbiodinium3966	K17710
Symbiodinium36540	K00806
Symbiodinium10302	K14407
Symbiodinium34321	K06002
Symbiodinium7138	K10380
Symbiodinium31541	K11687
Symbiodinium43533	K03321
Symbiodinium49135	K10799
Symbiodinium4831	K21440
Symbiodinium45712	K13412
Symbiodinium26364	K01254
Symbiodinium20928	K15336
Symbiodinium15069	K09228
Symbiodinium6996	K12840
Symbiodinium8034	K20872
Symbiodinium38576	K13448
Symbiodinium10090	K02691
Symbiodinium7005	K09511
Symbiodinium7396	K20028
Symbiodinium37025	K09861
Symbiodinium38254	K24937
Symbiodinium43448	K03365
Symbiodinium42905	K11437
Symbiodinium10224	K10667
Symbiodinium31085	K17943
Symbiodinium55307	K01784
Symbiodinium48122	K03257
Symbiodinium16770	K08893
Symbiodinium9234	K18753
Symbiodinium53232	K16547
Symbiodinium14556	K16302
Symbiodinium15474	K10392
Symbiodinium21925	K20989
Symbiodinium48917	K13102
Symbiodinium46452	K08151
Symbiodinium5670	K04905
Symbiodinium23056	K00831
Symbiodinium26258	K13037
Symbiodinium33974	K17681
Symbiodinium40144	K16900
Symbiodinium48832	K14206
Symbiodinium57114	K22857
Symbiodinium27749	K04125
Symbiodinium20185	K15779
Symbiodinium25031	K00826
Symbiodinium34522	K00898
Symbiodinium43301	K08827
Symbiodinium49599	K15377
Symbiodinium50034	K03259
Symbiodinium26370	K04460
Symbiodinium6707	K24888
Symbiodinium34829	K21991
Symbiodinium34697	K12611
Symbiodinium49632	K09828
Symbiodinium7616	K13412
Symbiodinium27940	K05034
Symbiodinium8227	K01061
Symbiodinium25603	K03260
Symbiodinium18423	K09667
Symbiodinium13319	K03769
Symbiodinium5290	K00898
Symbiodinium33575	K16482
Symbiodinium36774	K08869
Symbiodinium8374	K16726
Symbiodinium19405	K01251
Symbiodinium8576	K26380
Symbiodinium33441	K00889
Symbiodinium35384	K07374
Symbiodinium49114	K13412
Symbiodinium16179	K19757
Symbiodinium46836	K18477
Symbiodinium24803	K17550
Symbiodinium18277	K24083
Symbiodinium41634	K08827
Symbiodinium41083	K09839
Symbiodinium54129	K04371
Symbiodinium32933	K05929
Symbiodinium42441	K22763
Symbiodinium9711	K13024
Symbiodinium33614	K16634
Symbiodinium47651	K19760
Symbiodinium35509	K16582
Symbiodinium26285	K17616
Symbiodinium27179	K06180
Symbiodinium37739	K13412
Symbiodinium41119	K01915
Symbiodinium24776	K11000
Symbiodinium18961	K06173
Symbiodinium33831	K17339
Symbiodinium48616	K00901
Symbiodinium5094	K15109
Symbiodinium7345	K15111
Symbiodinium53668	K13566
Symbiodinium13050	K20826
Symbiodinium13086	K10860
Symbiodinium33284	K02896
Symbiodinium15210	K00088
Symbiodinium31051	K12891
Symbiodinium60495	K16726
Symbiodinium26815	K17677
Symbiodinium55760	K03781
Symbiodinium51187	K04515
Symbiodinium51875	K24796
Symbiodinium11785	K01307
Symbiodinium25720	K01179
Symbiodinium39446	K14997
Symbiodinium24204	K02985
Symbiodinium8798	K01897
Symbiodinium5157	K14557
Symbiodinium18517	K17710
Symbiodinium47851	K10380
Symbiodinium33385	K17508
Symbiodinium32169	K13761
Symbiodinium50274	K00810
Symbiodinium49159	K09602
Symbiodinium34754	K12132
Symbiodinium20393	K13293
Symbiodinium5873	K00699
Symbiodinium38386	K01379
Symbiodinium59175	K20606
Symbiodinium51269	K00142
Symbiodinium25124	K00927
Symbiodinium55339	K08573
Symbiodinium54444	K11417
Symbiodinium43623	K02183
Symbiodinium8887	K01809
Symbiodinium13515	K22614
Symbiodinium46894	K00432
Symbiodinium43455	K21952
Symbiodinium22219	K09502
Symbiodinium7860	K20715
Symbiodinium10826	K13210
Symbiodinium34079	K10615
Symbiodinium52481	K03327
Symbiodinium20467	K16639
Symbiodinium27022	K00131
Symbiodinium6269	K01662
Symbiodinium14356	K13956
Symbiodinium9217	K08803
Symbiodinium55569	K12460
Symbiodinium42351	K09582
Symbiodinium11912	K10615
Symbiodinium37762	K19327
Symbiodinium52121	K17535
Symbiodinium49028	K08906
Symbiodinium6160	K15704
Symbiodinium6221	K19612
Symbiodinium30717	K01557
Symbiodinium6449	K17836
Symbiodinium42330	K08341
Symbiodinium728	K16726
Symbiodinium32066	K01854
Symbiodinium26729	K12410
Symbiodinium15403	K10639
Symbiodinium7286	K04604
Symbiodinium55778	K01195
Symbiodinium43351	K03429
Symbiodinium33860	K14565
Symbiodinium48995	K00859
Symbiodinium34002	K00703
Symbiodinium23148	K10380
